"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17468","should prevent login and not execute code when password contains special characters or injection scripts","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","2133","should show validation for empty username and password","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","4163","should show error for invalid username","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","21228","should navigate to PIM module and search for added employee","","2026-01-29","failed","2026-01-29","","OrangeHRM PIM Scenarios","",""
"","4858","should not login when extra spaces are used in credentials","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","2456","should show validation for empty password only","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","5733","should show error for invalid password","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","4571","should not login when password is case-sensitive","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
"","6471","should allow user to sign in successfully","","2026-01-29","passed","2026-01-29","","Sign In Form","",""
"","16491","should navigate to PIM module and add employee with photo","","2026-01-29","passed","2026-01-29","","OrangeHRM PIM Scenarios","",""
"","2568","should show validation for empty username only","","2026-01-29","passed","2026-01-29","","OrangeHRM Login Scenarios","",""
